"ID";"Description";"GsSlots";"gen slots";"Correct slots";"Precision";"Recall";"# generated cons";"# gs cons";"GS type";"type error";"Actions";"Cons1";"gsCons1";"Cons2";"gsCons2";"Cons3";"gsCons3"
"0";"A claim should be created, before it can be approved.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: create a claim, Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create a claim, B=Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"1";"A claim must be created, before it is approved.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: create a claim, Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create a claim, B=Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"2";"When a claim is created, it may be approved.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: create a claim, Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create a claim, B=Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"3";"If a claim is created, it can be approved.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: create a claim, Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create a claim, B=Action: approve it]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"4";"They have to create the claim, before they can approve it.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: they create the claim, Action: they approve it]";"Constraint [type=PRECEDENCE, A=Action: they create the claim, B=Action: they approve it]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"5";"Only after a claim is created, it is possible to approve the claim.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: create a claim, Action: it approve the claim]";"Constraint [type=PRECEDENCE, A=Action: create a claim, B=Action: it approve the claim]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"6";"If a claim is approved, then it must have been created first.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: approve a claim, Action: create it]";"Constraint [type=PRECEDENCE, A=Action: create it, B=Action: approve a claim]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"7";"To approve a claim, it should be created first.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: approve a claim, Action: create it]";"Constraint [type=PRECEDENCE, A=Action: create it, B=Action: approve a claim]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"8";"A claim can be approved, after it has been created.";"3";"3";"3";"1.0";"1.0";"1";"1";"PRECEDENCE";"false";"[Action: approve a claim, Action: create it]";"Constraint [type=PRECEDENCE, A=Action: create it, B=Action: approve a claim]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
"9";"Approving the claim can happen at anytime, unless it still needs to be created.";"3";"3";"1";"0.3333333333333333";"0.3333333333333333";"1";"1";"PRECEDENCE";"false";"[Action: approve the claim, Action: create it, Action: the claim, Action: it]";"Constraint [type=PRECEDENCE, A=Action: the claim, B=Action: it]";"Constraint [type=PRECEDENCE, A=Action: create claim, B=Action: approve claim]"
